"year","month","time","ts","vei","latitude","longitude","deaths"
-4360,NA,"-4360-07-01 00:00:00",-4359.5,6,-30.2,-178.47,NA
-4350,NA,"-4350-07-01 00:00:00",-4349.5,7,30.78,130.28,NA
-4050,NA,"-4050-07-01 00:00:00",-4049.5,6,11.984,-86.161,NA
-4000,NA,"-4000-07-01 00:00:00",-3999.5,6,-5.58,150.52,NA
-3580,NA,"-3580-07-01 00:00:00",-3579.5,6,14.002,120.993,NA
-3550,NA,"-3550-07-01 00:00:00",-3549.5,6,15.13,120.35,NA
-2420,NA,"-2420-07-01 00:00:00",-2419.5,5,40.821,14.426,NA
-2040,NA,"-2040-07-01 00:00:00",-2039.5,6,-5.358,147.12,NA
-1900,NA,"-1900-07-01 00:00:00",-1899.5,6,56.53,-158.8,NA
-1890,NA,"-1890-07-01 00:00:00",-1889.5,6,-45.9,-72.97,NA
-1860,NA,"-1860-07-01 00:00:00",-1859.5,6,46.2,-122.18,NA
-1750,NA,"-1750-07-01 00:00:00",-1749.5,6,56.17,-159.38,NA
-1645,NA,"-1645-07-01 00:00:00",-1644.5,6,56.88,-158.17,NA
-1610,NA,"-1610-07-01 00:00:00",-1609.5,7,36.404,25.396,NA
-1460,NA,"-1460-07-01 00:00:00",-1459.5,6,-38.82,176,NA
-1370,NA,"-1370-07-01 00:00:00",-1369.5,6,-5.58,150.52,NA
-1050,NA,"-1050-07-01 00:00:00",-1049.5,6,15.13,120.35,NA
-1010,NA,"-1010-07-01 00:00:00",-1009.5,5,-1.467,-78.442,NA
-455,NA,"-455-07-01 00:00:00",-454.5,4,-0.677,-78.436,NA
-250,NA,"-250-07-01 00:00:00",-249.5,6,-29.27,-177.92,NA
-197,NA,"-197-07-01 00:00:00",-196.5,3,36.404,25.396,NA
-100,NA,"-100-07-01 00:00:00",-99.5,6,53.42,-168.13,NA
-50,NA,"-50-07-01 00:00:00",-49.5,6,12.242,-86.342,NA
46,NA,"46-07-01 00:00:00",46.5,3,36.404,25.396,NA
50,NA,"50-07-01 00:00:00",50.5,6,-16.25,168.12,NA
60,NA,"60-07-01 00:00:00",60.5,6,61.38,-141.75,NA
79,8,"79-8-15 00:00:00",79.625,5,40.821,14.426,2100
230,NA,"230-07-01 00:00:00",230.5,6,-38.82,176,NA
240,NA,"240-07-01 00:00:00",240.5,6,51.8,157.53,NA
450,NA,"450-07-01 00:00:00",450.5,6,13.672,-89.053,30000
640,NA,"640-07-01 00:00:00",640.5,2,27.08,37.25,NA
653,NA,"653-07-01 00:00:00",653.5,6,-5.056,150.108,NA
683,NA,"683-07-01 00:00:00",683.5,6,-4.271,152.203,NA
710,NA,"710-07-01 00:00:00",710.5,6,-5.58,150.52,NA
764,NA,"764-07-01 00:00:00",764.5,4,31.58,130.67,80
766,7,"766-7-15 00:00:00",766.542,3,31.58,130.67,NA
787,NA,"787-07-01 00:00:00",787.5,3,40.821,14.426,NA
847,NA,"847-07-01 00:00:00",847.5,6,61.38,-141.75,NA
920,NA,"920-07-01 00:00:00",920.5,4,63.63,-19.05,NA
930,NA,"930-07-01 00:00:00",930.5,6,21.125,-104.508,NA
934,NA,"934-07-01 00:00:00",934.5,4,63.63,-19.05,NA
1000,NA,"1000-07-01 00:00:00",1000.5,7,41.98,128.08,NA
1104,10,"1104-10-15 00:00:00",1104.79,5,63.98,-19.7,NA
1158,1,"1158-1-15 00:00:00",1158.04,4,63.98,-19.7,NA
1177,NA,"1177-07-01 00:00:00",1177.5,3,63.63,-19.05,NA
1206,12,"1206-12-15 00:00:00",1206.96,2,63.98,-19.7,NA
1262,NA,"1262-07-01 00:00:00",1262.5,3,63.63,-19.05,NA
1280,NA,"1280-07-01 00:00:00",1280.5,6,-0.85,-78.9,NA
1300,7,"1300-7-15 00:00:00",1300.54,4,63.98,-19.7,NA
1311,1,"1311-1-15 00:00:00",1311.04,4,63.63,-19.05,NA
1311,NA,"1311-07-01 00:00:00",1311.5,3,-7.93,112.308,NA
1329,6,"1329-6-15 00:00:00",1329.46,3,37.734,15.004,NA
1331,12,"1331-12-15 00:00:00",1331.96,2,32.88,131.1,NA
1334,NA,"1334-07-01 00:00:00",1334.5,3,-7.93,112.308,NA
1341,5,"1341-5-15 00:00:00",1341.38,3,63.98,-19.7,NA
1357,NA,"1357-07-01 00:00:00",1357.5,4,63.63,-19.05,NA
1362,6,"1362-6-15 00:00:00",1362.46,5,64,-16.65,220
1375,NA,"1375-07-01 00:00:00",1375.5,5,17.36,-93.228,NA
1376,NA,"1376-07-01 00:00:00",1376.5,3,-7.93,112.308,NA
1385,NA,"1385-07-01 00:00:00",1385.5,3,-7.93,112.308,NA
1389,12,"1389-12-15 00:00:00",1389.96,3,63.98,-19.7,NA
1410,3,"1410-3-15 00:00:00",1410.21,3,37.12,139.97,180
1471,11,"1471-11-15 00:00:00",1471.88,5,31.58,130.67,NA
1477,2,"1477-2-15 00:00:00",1477.12,6,64.63,-17.53,NA
1485,1,"1485-1-15 00:00:00",1485.04,2,32.88,131.1,1
1500,NA,"1500-07-01 00:00:00",1500.5,4,63.63,-19.05,NA
1510,7,"1510-7-15 00:00:00",1510.54,4,63.98,-19.7,1
1510,10,"1510-10-15 00:00:00",1510.79,4,63.98,-19.7,NA
1536,3,"1536-3-15 00:00:00",1536.21,3,37.734,15.004,1
1538,9,"1538-9-15 00:00:00",1538.71,3,40.827,14.139,24
1540,NA,"1540-07-01 00:00:00",1540.5,4,59.37,-153.42,NA
1550,11,"1550-11-15 00:00:00",1550.88,3,1.68,127.88,NA
1564,12,"1564-12-15 00:00:00",1564.96,3,1.375,127.52,NA
1565,8,"1565-8-15 00:00:00",1565.62,3,14.381,-90.601,NA
1566,10,"1566-10-15 00:00:00",1566.79,3,31.93,130.87,NA
1568,NA,"1568-07-01 00:00:00",1568.5,3,-9.13,159.82,1001
1576,NA,"1576-07-01 00:00:00",1576.5,3,19.514,-103.62,NA
1580,5,"1580-5-15 00:00:00",1580.38,3,38.65,-28.08,10
1580,NA,"1580-07-01 00:00:00",1580.5,6,-6.092,155.225,NA
1580,8,"1580-8-15 00:00:00",1580.62,4,63.63,-19.05,NA
1581,12,"1581-12-15 00:00:00",1581.96,4,14.473,-90.88,NA
1586,NA,"1586-07-01 00:00:00",1586.5,5,-7.93,112.308,10000
1587,NA,"1587-07-01 00:00:00",1587.5,4,-7.542,110.442,NA
1590,1,"1590-1-15 00:00:00",1590.04,3,19.514,-103.62,NA
1593,NA,"1593-07-01 00:00:00",1593.5,5,-8.125,114.042,NA
1595,3,"1595-3-15 00:00:00",1595.21,4,4.895,-75.322,636
1596,5,"1596-5-15 00:00:00",1596.38,2,36.4,138.53,NA
1597,1,"1597-1-15 00:00:00",1597.04,4,63.98,-19.7,NA
1597,NA,"1597-07-01 00:00:00",1597.5,3,-8.125,114.042,NA
1598,5,"1598-5-15 00:00:00",1598.38,2,36.4,138.53,800
1598,NA,"1598-07-01 00:00:00",1598.5,3,-4.525,129.871,NA
1600,2,"1600-2-15 00:00:00",1600.12,6,-16.608,-70.85,1500
1606,1,"1606-1-15 00:00:00",1606.04,2,33.13,139.77,NA
1608,7,"1608-7-15 00:00:00",1608.54,3,0.8,127.325,NA
1615,3,"1615-3-15 00:00:00",1615.21,3,-4.525,129.871,NA
1617,NA,"1617-07-01 00:00:00",1617.5,3,14.473,-90.88,NA
1625,9,"1625-9-15 00:00:00",1625.71,5,63.63,-19.05,NA
1629,NA,"1629-07-01 00:00:00",1629.5,2,64.42,-17.33,4
1630,9,"1630-9-15 00:00:00",1630.71,4,37.77,-25.32,200
1631,12,"1631-12-15 00:00:00",1631.96,5,40.821,14.426,4000
1636,5,"1636-5-15 00:00:00",1636.38,3,63.98,-19.7,NA
1638,NA,"1638-07-01 00:00:00",1638.5,4,-8.125,114.042,1001
1640,NA,"1640-07-01 00:00:00",1640.5,3,-1.467,-78.442,5000
1640,7,"1640-7-15 00:00:00",1640.54,5,42.07,140.68,NA
1646,7,"1646-7-15 00:00:00",1646.54,4,0.32,127.4,NA
1650,9,"1650-9-15 00:00:00",1650.71,4,36.404,25.396,120
1659,9,"1659-9-15 00:00:00",1659.71,3,13.736,-89.286,NA
1659,11,"1659-11-15 00:00:00",1659.88,4,-6.92,129.125,NA
1660,2,"1660-2-15 00:00:00",1660.12,4,-6.92,129.125,3
1660,NA,"1660-07-01 00:00:00",1660.5,6,-5.358,147.12,2000
1660,11,"1660-11-15 00:00:00",1660.88,4,63.63,-19.05,NA
1663,8,"1663-8-15 00:00:00",1663.62,5,42.53,140.83,5
1664,4,"1664-4-15 00:00:00",1664.29,2,32.75,130.3,30
1669,3,"1669-3-15 00:00:00",1669.21,3,37.734,15.004,NA
1669,3,"1669-3-15 00:00:00",1669.21,3,37.734,15.004,2
1670,NA,"1670-07-01 00:00:00",1670.5,2,-15.4,167.83,NA
1672,4,"1672-4-15 00:00:00",1672.29,2,38.6,-28.73,3
1672,8,"1672-8-15 00:00:00",1672.62,3,-7.542,110.442,3000
1673,5,"1673-5-15 00:00:00",1673.38,5,1.375,127.52,NA
1677,11,"1677-11-15 00:00:00",1677.88,2,28.58,-17.83,1
1682,8,"1682-8-15 00:00:00",1682.62,3,40.821,14.426,4
1684,12,"1684-12-15 00:00:00",1684.96,2,64.42,-17.33,1
1690,NA,"1690-07-01 00:00:00",1690.5,3,-7.13,107.83,NA
1692,6,"1692-6-15 00:00:00",1692.46,4,-6.3,130,NA
1693,2,"1693-2-15 00:00:00",1693.12,4,63.98,-19.7,NA
1694,11,"1694-11-15 00:00:00",1694.88,3,-4.525,129.871,NA
1698,5,"1698-5-15 00:00:00",1698.38,3,40.821,14.426,NA
1698,NA,"1698-07-01 00:00:00",1698.5,3,-0.677,-78.436,NA
1698,NA,"1698-07-01 00:00:00",1698.5,3,-6.892,108.4,NA
1706,5,"1706-5-15 00:00:00",1706.38,2,28.271,-16.641,NA
1707,12,"1707-12-15 00:00:00",1707.96,4,35.35,138.73,NA
1711,12,"1711-12-15 00:00:00",1711.96,3,3.67,125.5,3000
1712,1,"1712-1-15 00:00:00",1712.04,2,64.63,-17.53,NA
1716,7,"1716-7-15 00:00:00",1716.54,2,-7.93,112.308,NA
1716,9,"1716-9-15 00:00:00",1716.71,4,14.002,120.993,NA
1716,10,"1716-10-15 00:00:00",1716.79,2,64.63,-17.53,NA
1716,11,"1716-11-15 00:00:00",1716.88,3,31.93,130.87,1
1717,2,"1717-2-15 00:00:00",1717.12,3,31.93,130.87,1
1717,8,"1717-8-15 00:00:00",1717.62,3,64.63,-17.53,NA
1717,8,"1717-8-15 00:00:00",1717.62,3,14.473,-90.88,NA
1718,2,"1718-2-15 00:00:00",1718.12,2,38.47,-28.4,2
1721,5,"1721-5-15 00:00:00",1721.38,5,63.63,-19.05,NA
1727,8,"1727-8-15 00:00:00",1727.62,4,64,-16.65,3
1729,6,"1729-6-15 00:00:00",1729.46,2,65.73,-16.78,NA
1730,NA,"1730-07-01 00:00:00",1730.5,3,-8.125,114.042,NA
1730,9,"1730-9-15 00:00:00",1730.71,2,29.03,-13.63,NA
1737,5,"1737-5-15 00:00:00",1737.38,2,40.821,14.426,2
1741,8,"1741-8-15 00:00:00",1741.62,4,41.5,139.37,NA
1742,6,"1742-6-15 00:00:00",1742.46,3,-0.677,-78.436,NA
1742,12,"1742-12-15 00:00:00",1742.96,3,-0.677,-78.436,NA
1749,8,"1749-8-15 00:00:00",1749.62,3,14.002,120.993,NA
1753,10,"1753-10-15 00:00:00",1753.79,2,64.42,-17.33,NA
1754,5,"1754-5-15 00:00:00",1754.38,4,14.002,120.993,12
1755,10,"1755-10-15 00:00:00",1755.79,4,63.63,-19.05,2
1760,NA,"1760-07-01 00:00:00",1760.5,4,0.32,127.4,2000
1762,NA,"1762-07-01 00:00:00",1762.5,2,56.057,160.638,NA
1766,4,"1766-4-15 00:00:00",1766.29,4,63.98,-19.7,NA
1766,7,"1766-7-15 00:00:00",1766.54,3,13.257,123.685,49
1768,4,"1768-4-15 00:00:00",1768.29,4,-0.677,-78.436,NA
1772,5,"1772-5-15 00:00:00",1772.38,3,0.8,127.325,35
1772,8,"1772-8-15 00:00:00",1772.62,3,-7.32,107.73,2957
1773,2,"1773-2-15 00:00:00",1773.12,2,0.8,127.325,NA
1775,NA,"1775-07-01 00:00:00",1775.5,3,1.358,124.792,NA
1775,NA,"1775-07-01 00:00:00",1775.5,3,0.8,127.325,1300
1778,NA,"1778-07-01 00:00:00",1778.5,4,48.292,153.25,15
1779,8,"1779-8-15 00:00:00",1779.62,2,40.821,14.426,NA
1779,11,"1779-11-15 00:00:00",1779.88,4,31.58,130.67,153
1780,2,"1780-2-15 00:00:00",1780.12,4,31.58,130.67,NA
1780,7,"1780-7-15 00:00:00",1780.54,3,32.45,139.77,7
1780,9,"1780-9-15 00:00:00",1780.71,4,31.58,130.67,NA
1781,4,"1781-4-15 00:00:00",1781.29,4,31.58,130.67,23
1783,8,"1783-8-15 00:00:00",1783.62,4,36.4,138.53,1491
1784,4,"1784-4-15 00:00:00",1784.29,4,64.42,-17.33,NA
1785,4,"1785-4-15 00:00:00",1785.29,3,32.45,139.77,135
1786,NA,"1786-07-01 00:00:00",1786.5,2,-7.2,109.92,38
1789,NA,"1789-07-01 00:00:00",1789.5,2,34.73,139.38,NA
1790,11,"1790-11-15 00:00:00",1790.88,4,19.425,-155.292,5405
1792,5,"1792-5-15 00:00:00",1792.38,2,32.75,130.3,NA
1794,6,"1794-6-15 00:00:00",1794.46,3,40.821,14.426,400
1800,NA,"1800-07-01 00:00:00",1800.5,2,-9.23,33.78,NA
1800,NA,"1800-07-01 00:00:00",1800.5,5,46.2,-122.18,NA
1800,10,"1800-10-15 00:00:00",1800.79,2,13.257,123.685,NA
1801,7,"1801-7-15 00:00:00",1801.54,2,39.08,140.03,8
1803,7,"1803-7-15 00:00:00",1803.54,2,36.4,138.53,NA
1803,11,"1803-11-15 00:00:00",1803.88,2,36.4,138.53,NA
1804,NA,"1804-07-01 00:00:00",1804.5,3,42.7,141.33,NA
1805,8,"1805-8-15 00:00:00",1805.62,2,40.821,14.426,4
1812,4,"1812-4-15 00:00:00",1812.29,4,13.33,-61.18,56
1812,8,"1812-8-15 00:00:00",1812.62,3,3.67,125.5,953
1813,5,"1813-5-15 00:00:00",1813.38,2,40.821,14.426,NA
1814,2,"1814-2-15 00:00:00",1814.12,4,13.257,123.685,1200
1815,4,"1815-4-15 00:00:00",1815.29,7,-8.25,118,11000
1816,7,"1816-7-15 00:00:00",1816.54,2,32.88,131.1,1
1817,1,"1817-1-15 00:00:00",1817.04,2,-8.058,114.242,NA
1817,NA,"1817-07-01 00:00:00",1817.5,4,-8.125,114.042,NA
1818,2,"1818-2-15 00:00:00",1818.12,4,19.514,-103.62,NA
1820,3,"1820-3-15 00:00:00",1820.21,2,54.52,-164.65,NA
1820,6,"1820-6-15 00:00:00",1820.46,2,-4.525,129.871,NA
1822,3,"1822-3-15 00:00:00",1822.21,4,42.53,140.83,50
1822,10,"1822-10-15 00:00:00",1822.79,5,-7.25,108.05,4011
1822,12,"1822-12-15 00:00:00",1822.96,3,-7.542,110.442,100
1824,NA,"1824-07-01 00:00:00",1824.5,3,54.75,-163.97,NA
1826,10,"1826-10-15 00:00:00",1826.79,3,-7.93,112.308,NA
1826,10,"1826-10-15 00:00:00",1826.79,2,-7.2,109.92,NA
1826,10,"1826-10-15 00:00:00",1826.79,2,32.88,131.1,NA
1827,6,"1827-6-15 00:00:00",1827.46,2,53.255,158.83,NA
1827,8,"1827-8-15 00:00:00",1827.62,2,53.255,158.83,NA
1829,NA,"1829-07-01 00:00:00",1829.5,2,-7.13,107.83,NA
1832,11,"1832-11-15 00:00:00",1832.88,2,37.734,15.004,NA
1832,12,"1832-12-15 00:00:00",1832.96,3,-7.542,110.442,32
1833,11,"1833-11-15 00:00:00",1833.88,2,-3.52,102.62,126
1835,1,"1835-1-15 00:00:00",1835.04,5,12.98,-87.57,NA
1838,2,"1838-2-15 00:00:00",1838.12,2,0.8,127.325,4
1839,2,"1839-2-15 00:00:00",1839.12,2,-33.62,-76.83,NA
1840,2,"1840-2-15 00:00:00",1840.12,2,0.8,127.325,NA
1840,NA,"1840-07-01 00:00:00",1840.5,3,-9.13,159.82,NA
1840,NA,"1840-07-01 00:00:00",1840.5,3,-10.38,165.8,NA
1840,7,"1840-7-15 00:00:00",1840.54,3,39.7,44.28,1900
1841,4,"1841-4-15 00:00:00",1841.29,2,30.43,130.22,NA
1843,8,"1843-8-15 00:00:00",1843.62,2,-8,113.342,4
1843,11,"1843-11-15 00:00:00",1843.88,2,37.734,15.004,56
1845,2,"1845-2-15 00:00:00",1845.12,2,1.108,124.725,NA
1845,2,"1845-2-15 00:00:00",1845.12,3,4.895,-75.322,1000
1845,9,"1845-9-15 00:00:00",1845.71,4,63.98,-19.7,NA
1846,5,"1846-5-15 00:00:00",1846.38,2,-6.77,107.6,NA
1847,4,"1847-4-15 00:00:00",1847.29,2,14.95,-24.35,NA
1847,12,"1847-12-15 00:00:00",1847.96,2,-7.2,109.92,NA
1848,5,"1848-5-15 00:00:00",1848.38,2,-7.93,112.308,21
1850,NA,"1850-07-01 00:00:00",1850.5,2,-4.271,152.203,NA
1853,7,"1853-7-15 00:00:00",1853.54,3,13.257,123.685,34
1853,10,"1853-10-15 00:00:00",1853.79,2,24,121.83,NA
1854,2,"1854-2-15 00:00:00",1854.12,5,56.653,161.36,NA
1854,2,"1854-2-15 00:00:00",1854.12,2,32.88,131.1,3
1854,6,"1854-6-15 00:00:00",1854.46,3,50.858,155.55,NA
1856,3,"1856-3-15 00:00:00",1856.21,3,3.67,125.5,2806
1856,9,"1856-9-15 00:00:00",1856.71,4,42.07,140.68,20
1858,1,"1858-1-15 00:00:00",1858.04,2,13.257,123.685,NA
1860,4,"1860-4-15 00:00:00",1860.29,2,-8.108,112.92,NA
1860,8,"1860-8-15 00:00:00",1860.62,2,14.473,-90.88,NA
1861,5,"1861-5-15 00:00:00",1861.38,3,13.58,41.808,106
1861,5,"1861-5-15 00:00:00",1861.38,2,64.42,-17.33,NA
1861,12,"1861-12-15 00:00:00",1861.96,4,0.32,127.4,326
1864,1,"1864-1-15 00:00:00",1864.04,2,-7.93,112.308,54
1866,2,"1866-2-15 00:00:00",1866.12,2,36.404,25.396,1
1866,9,"1866-9-15 00:00:00",1866.71,2,-14.175,-169.618,NA
1867,10,"1867-10-15 00:00:00",1867.79,2,38.15,140.45,3
1868,4,"1868-4-15 00:00:00",1868.29,2,19.475,-155.608,NA
1869,7,"1869-7-15 00:00:00",1869.54,2,-8.53,122.775,2
1869,8,"1869-8-15 00:00:00",1869.62,2,-8,113.342,8
1870,NA,"1870-07-01 00:00:00",1870.5,3,-8.54,123.59,NA
1870,NA,"1870-07-01 00:00:00",1870.5,2,-15.4,167.83,NA
1870,8,"1870-8-15 00:00:00",1870.62,2,2.28,125.425,NA
1871,3,"1871-3-15 00:00:00",1871.21,2,2.28,125.425,NA
1871,4,"1871-4-15 00:00:00",1871.29,2,9.203,124.673,NA
1871,8,"1871-8-15 00:00:00",1871.62,2,0.8,127.325,1
1871,12,"1871-12-15 00:00:00",1871.96,3,13.257,123.685,3
1872,4,"1872-4-15 00:00:00",1872.29,4,-7.542,110.442,30
1872,4,"1872-4-15 00:00:00",1872.29,4,-7.542,110.442,170
1872,4,"1872-4-15 00:00:00",1872.29,3,40.821,14.426,9
1872,NA,"1872-07-01 00:00:00",1872.5,4,48.875,154.175,NA
1872,11,"1872-11-15 00:00:00",1872.88,4,-7.542,110.442,200
1872,12,"1872-12-15 00:00:00",1872.96,3,32.88,131.1,4
1873,1,"1873-1-15 00:00:00",1873.04,2,7.67,124.5,NA
1874,7,"1874-7-15 00:00:00",1874.54,3,34.08,139.53,1
1874,7,"1874-7-15 00:00:00",1874.54,2,14.002,120.993,NA
1875,3,"1875-3-15 00:00:00",1875.21,5,65.03,-16.75,NA
1877,6,"1877-6-15 00:00:00",1877.46,4,-0.677,-78.436,340
1878,1,"1878-1-15 00:00:00",1878.04,3,-19.52,169.425,NA
1878,1,"1878-1-15 00:00:00",1878.04,3,-4.271,152.203,1
1878,8,"1878-8-15 00:00:00",1878.62,2,53.42,-168.13,NA
1879,2,"1879-2-15 00:00:00",1879.12,2,38.789,15.213,NA
1883,3,"1883-3-15 00:00:00",1883.21,2,-11.75,43.38,NA
1883,8,"1883-8-15 00:00:00",1883.62,6,-6.102,105.423,2000
1883,10,"1883-10-15 00:00:00",1883.79,4,59.37,-153.42,8
1883,12,"1883-12-15 00:00:00",1883.96,3,-6.14,155.195,NA
1885,4,"1885-4-15 00:00:00",1885.29,2,-8.108,112.92,74
1885,5,"1885-5-15 00:00:00",1885.38,3,2.32,-76.4,NA
1886,1,"1886-1-15 00:00:00",1886.04,4,-1.467,-78.442,2
1886,6,"1886-6-15 00:00:00",1886.46,2,-38.12,176.5,153
1886,8,"1886-8-15 00:00:00",1886.62,4,-15.6,-175.63,NA
1887,3,"1887-3-15 00:00:00",1887.21,3,13.257,123.685,15
1888,3,"1888-3-15 00:00:00",1888.21,3,-5.52,148.121,NA
1888,7,"1888-7-15 00:00:00",1888.54,4,37.6,140.08,461
1889,9,"1889-9-15 00:00:00",1889.71,2,3.138,125.491,NA
1890,6,"1890-6-15 00:00:00",1890.46,2,0.32,127.4,NA
1890,NA,"1890-07-01 00:00:00",1890.5,2,-9.2,149.07,NA
1892,5,"1892-5-15 00:00:00",1892.38,2,0.686,99.539,180
1892,6,"1892-6-15 00:00:00",1892.46,3,3.67,125.5,1532
1892,8,"1892-8-15 00:00:00",1892.62,2,-19.75,-175.07,NA
1893,1,"1893-1-15 00:00:00",1893.04,4,-41.326,-72.614,NA
1893,5,"1893-5-15 00:00:00",1893.38,2,37.73,140.25,2
1894,10,"1894-10-15 00:00:00",1894.79,3,-16.25,168.12,10
1895,5,"1895-5-15 00:00:00",1895.38,2,-8.108,112.92,NA
1895,6,"1895-6-15 00:00:00",1895.46,2,-4.649,145.964,1
1895,NA,"1895-07-01 00:00:00",1895.5,2,-5.056,150.108,NA
